ACCOMMODATION_NAME;"Accommodation Name"
ROOM;"Room"
ACCOMMODATION_ROOMS;"Accommodation Rooms"
ROOM_PRICE;"Room Price"
FECILITIES;"Amenities"
ACCOMMODATION_IMAGES;"Accommodation Images"
ROOM_IMAGES;"Room Images"
ROOM_CAPECITY;"Room Capacity"
ACCOMMODATION_BOOKING;"Bookings"
GUEST_REVIEWS;"Guest Review"
ADULT;"Adult"
CHILD;"Child"
VENDER_ID;"Vendor Id"
SLOGAN;"Slogan"
STAR;"Star"
ACCOMMODATION_BOOKING_ID;"Booking ID"
MINIMUM_BOOKING;"Minimum Booking"
TAX;"Tax"
INCLUDE_TAX;"Include Tax"
FACILITY;"Facility"
ROOM_TYPE;"Room Type"
NO_OF_ROOM;"Number Of Room" 
NO_OF_ADULT;"Number Of Adult" 
NO_OF_CHILD;"Number Of Child" 
TYPE_OF_BED;"Type Of Bed"
ACCOMMODATION_IS_NOT_UPTO_DATE;"Accommodation details not up to date"
ACCOMMODATION_CUSTOMER;"Customers"
ACCOMMODATION_EMAIL;"Accommodation Email"
ACCOMMODATION_ADDRESS;"Address"
ACCOMMODATION_ZIP;"Zip Code"
ACCOMMODATION_PHONE;"Accommodation Phone"
ACCOMMODATION_FAX;"Fax Number"
ACCOMMODATION_DESCRIPTION;"Description"
ACCOMMODATION_MANAGE_LANG_SETTINGS;"Manage Language Settings"
ACCOMMODATION_VIEW_YOUR_LANG_SETTINGS;"View your language settings"
ACCOMMODATION_TAG_NAME;"Variable Name"
ACCOMMODATION_TAG_VALUE;"Message"
ACCOMMODATION_LANG_SETTINGS_SAVED;"Language settings has been saved successfully."
COUPON_HEADING;"Coupon Heading"
SAVE_COUPON;"Save"
ENTER_COUPON_HEADING;"Enter Coupon Heading"
DOISSUEP;"Date Of issue(yy-mm-dd)"
DOENDP;"Expiry Date(yy-mm-dd)"
SELECT_DISCOUNT_TYPE;"Select Discount Type"
UPDATE_COUPON;"Update Coupon"
ACCOMMODATION_MANAGE_BOOKINGS;"Manage Bookings"
ACCOMMODATION_MANAGE_REVIEWS;"Manage Reviews"
ACCOMMODATION_NO_REVIEW_EXIST;"No review found"
ACCOMMODATION_DATE_ASC;"Date (ASC)"
ACCOMMODATION_DATE_DESC;"Date (DESC)"
